id,name,box_qty_available,box_price,box_purchase_price,total_selling_value_box,total_cost_value_box
1699,*ترمومتر زئبق,2,60.00,46.00,120.00,92.00
1479,10x12غيار لاصق استرب,2,4.00,2.10,8.00,4.20
1480,10x18 غيار لاصق استرب,1,4.00,2.45,4.00,2.45
1481,10x25 غيار لاصق استرب,2,5.00,3.00,10.00,6.00
1482,10x35 غيار لاصق استرب,4,6.00,3.80,24.00,15.20
444,123 شراب,5,32.00,22.40,160.00,112.00
1206,225 فيانسيه  جل كريم موف م,1,47.00,36.30,47.00,36.30
1989,4785963210485,1,100.00,75.00,100.00,75.00
212,5/1000جليبوفين,1,48.00,34.00,48.00,34.00
1478,6x8 غيار لاصق استرب,6,2.00,1.00,12.00,6.00
1286,PINEفوج بخاخ,1,120.00,93.00,120.00,93.00
1491,Test Product,3,30.00,7.00,90.00,21.00
359,أبيمول 500,1,24.00,15.36,24.00,15.36
925,أتور 20,1,79.00,56.88,79.00,56.88
926,أتور 40,1,106.00,77.38,106.00,77.38
1941,إكسامايد 10مجم اقراص,1,117.00,84.94,117.00,84.94
1995,ابره بثور,1,13.00,8.75,13.00,8.75
1616,ابي داينيترا 5مجم اقراص,1,16.00,9.10,16.00,9.10
1811,ابي دينيترا 10مجم اقراص,1,9.00,6.80,9.00,6.80
322,ابيدون شراب,3,24.00,20.00,72.00,60.00
346,ابيديرم كريم,1,70.00,51.10,70.00,51.10
590,ابيسيفين 1جم,4,60.00,46.02,240.00,184.08
591,ابيسيفين 1جم,5,60.00,46.02,300.00,230.10
2260,ابيفاسي امبول,1,500.00,450.00,500.00,450.00
253,ابيفيناك امبول,1,36.00,28.80,36.00,28.80
1447,ابيفيناك قطره للعين,2,20.00,14.40,40.00,28.80
353,ابيكوبريد 20,0,104.00,77.00,0.00,0.00
347,ابيكوبريد 5,1,69.00,51.06,69.00,51.06
1936,ابيكوجيل شراب,1,48.00,35.52,48.00,35.52
2026,ابيكوفيللين 125مجم شراب,1,22.00,16.67,22.00,16.67
593,ابيماج فوار,1,26.00,19.94,26.00,19.94
342,ابيمول اكسترا,1,28.00,20.16,28.00,20.16
329,ابيمول لبوس5اقماع,1,15.00,10.65,15.00,10.65
1974,ابيوكالمين100مجم/5 مجم شراب,1,28.00,20.44,28.00,20.44
355,اتاكاند 16,1,116.00,85.84,116.00,85.84
344,اتاكاند 4ملجم,1,39.75,31.00,39.75,31.00
356,اتاكاند 8,1,83.00,60.59,83.00,60.59
345,اتاكاند بلاس 12.50/16 مجم اقراص,1,116.00,91.64,116.00,91.64
924,اتاكاند بلاس 32/ 25مجم اقراص,1,179.00,143.20,179.00,143.20
2096,اتروفنت 250 مجم امبول,0,286.00,221.00,0.00,0.00
2162,اتروفينت500امبول,2,286.00,210.78,572.00,421.56
349,اتكوكوكسيب 90,1,241.50,167.30,241.50,167.30
340,اتورستات 10,1,56.00,39.76,56.00,39.76
343,اتورستات 20,1,64.00,44.80,64.00,44.80
357,اتورستات 40,2,76.00,51.00,152.00,102.00
360,اتورستات 80,1,64.00,46.72,64.00,46.72
341,اتوريزا 10/10,1,166.00,114.54,166.00,114.54
335,اتوريزا 10/20,1,141.00,98.70,141.00,98.70
348,اتوريزا 10/40,1,210.00,151.20,210.00,151.20
1724,اجركس 75مجم اقراص,2,27.00,19.71,54.00,39.42
321,اجيرا كريم حب شباب,1,159.00,108.12,159.00,108.12
352,اجيولاكس,1,80.00,64.00,80.00,64.00
1338,اختبار حمل,6,25.00,7.25,150.00,43.50
1387,اختبار حمل يو تست كارت,4,20.00,6.25,80.00,25.00
305,ادابالين جيل,1,34.00,23.46,34.00,23.46
1173,ادرينوكورتين امبول,1,80.00,59.20,80.00,59.20
923,ادول ازرق,1,32.00,23.10,32.00,23.10
843,ادول اكسترا اقراص,4,52.00,41.29,208.00,165.16
330,ادولور30مجم حقن,3,36.00,23.76,108.00,71.28
338,ادويتين 30,1,243.00,167.67,243.00,167.67
331,ادويتين60مجم,1,299.50,185.35,299.50,185.35
1566,ادويفلام امبول,2,72.00,50.11,144.00,100.22
1555,ادويفلام جل,1,55.00,39.43,55.00,39.43
967,اديوفلام 12.5 مجم,1,148.00,108.04,148.00,108.04
1985,ار اكس كريم,1,75.00,56.25,75.00,56.25
1769,ارتيسوي اقراص,2,240.00,170.40,480.00,340.80
1768,ارتيكسيبان 2.5 مجم اقراص,1,426.00,302.40,426.00,302.40
1221,ارثروفاست 150 مجم اقراص,1,120.00,92.05,120.00,92.05
1528,ارثينور اقراص,1,23.00,17.94,23.00,17.94
1149,ارجنتو  غسول 200ملل,2,135.00,98.00,270.00,196.00
351,اريثريكس 200,1,94.00,66.74,94.00,66.74
2281,اريراستابكس 20م اقراص,1,75.00,54.67,75.00,54.67
334,اريك,0,100.50,86.43,0.00,0.00
2188,ازادرم كريم,2,87.00,57.00,174.00,114.00
1977,ازروليد 200/5مجم شراب 15مل,1,45.00,34.20,45.00,34.20
354,ازروليد 500,2,63.00,42.48,126.00,84.96
1978,ازروليد200/5 مجم شراب 22.5مل,1,52.00,39.52,52.00,39.52
2004,ازروليد30مللى شراب,2,62.00,45.83,124.00,91.66
339,ازماتك 20,0,55.00,26.30,0.00,0.00
964,ازماتك 40مجم,1,144.00,89.28,144.00,89.28
922,ازماكاست 10,1,156.00,113.88,156.00,113.88
921,ازماكاست 5,1,120.00,88.80,120.00,88.80
1716,ازمالير10مجم اقراص,1,40.00,29.20,40.00,29.20
541,ازموراب 40مجم,1,138.00,96.60,138.00,96.60
364,اسبروتكت اقراص,1,54.00,40.78,54.00,40.78
1757,اسبريكارلو اقراص,2,45.00,34.38,90.00,68.76
592,اسبرين بروتكت اقراص,4,78.00,60.00,312.00,240.00
1531,اسبوسيد 75مجم اقراص,3,33.00,28.38,99.00,85.14
326,اسبوسيد اطفال,4,35.00,25.55,140.00,102.20
1151,استارفيل غسول  ابيض 200ملل,1,145.00,96.00,145.00,96.00
535,استربسل عسل وليمون,0,170.00,112.20,0.00,0.00
190,استيروماب 10جرام اقراص,1,132.00,96.91,132.00,96.91
2243,استيكان 10مجم اقراص,1,48.00,35.04,48.00,35.04
2242,استيكان 20مجم اقراص,0,106.00,77.38,0.00,0.00
1530,استيل سستايين 200مجم,1,55.00,45.10,55.00,45.10
316,استين 20مجم,1,28.80,18.14,28.80,18.14
317,استين10مجم,1,28.80,18.14,28.80,18.14
1464,اسيتون 70 مل بيور,4,30.00,21.00,120.00,84.00
1470,اسيتون الاهرام 40 مل,1,15.00,9.75,15.00,9.75
833,اسيكلوفير 800 ستادا,1,280.00,221.20,280.00,221.20
361,اسيكلوفير كريم,3,23.00,15.80,69.00,47.40
2269,اسيكلوفير400ستادا اقراص,1,210.00,152.46,210.00,152.46
2192,افازير قطره للعين,2,28.00,18.20,56.00,36.40
2180,افوريكسال كبسول,0,270.00,196.00,0.00,0.00
1225,افوفا عجينه بيضا احمر,1,32.00,22.75,32.00,22.75
1224,افوفا عجينه بيضا اصفر,1,32.00,22.75,32.00,22.75
2337,افونا فازلين شفايف,3,20.00,13.00,60.00,39.00
2212,افيروبايوز 642.9 مجم شراب,2,118.00,85.18,236.00,170.36
2073,افيروميلان 50مجم اقراص,1,106.50,78.30,106.50,78.30
336,افيفافاسك 10/160,1,140.00,69.60,140.00,69.60
337,افيفافاسك 5/160,1,124.00,90.52,124.00,90.52
196,افيل حقن,4,57.00,41.84,228.00,167.36
1778,اكت رابد 100 وحده حقن,2,75.50,52.85,151.00,105.70
1878,اكت رابد انسولين 100مجم بنفل,5,338.00,270.00,1690.00,1350.00
324,اكتوزنك اقراص,1,30.00,19.80,30.00,19.80
2075,اكتوفنت سي ار 4مجم اقراص,1,12.00,8.82,12.00,8.82
723,اكتوميثرين 5% 50مللي,8,55.00,35.75,440.00,286.00
2111,اكتيفاست 50 مجم اقراص,1,39.00,24.75,39.00,24.75
537,اكتيفاست فوار,1,21.00,14.28,21.00,14.28
899,اكرتين %0.025 كريم,1,38.00,30.40,38.00,30.40
937,اكرتين %0.50 كريم,1,43.00,32.68,43.00,32.68
1124,اكس اسبراي % عرض,1,150.00,120.00,150.00,120.00
1125,اكس اسبراي % عرض,1,150.00,120.00,150.00,120.00
1126,اكس اسبراي % عرض,1,150.00,120.00,150.00,120.00
2078,اكسارونت 5مجم اقراص,1,357.00,268.40,357.00,268.40
323,اكسامايد20مجم,1,106.00,75.26,106.00,75.26
320,اكسامايد5مجم,1,66.00,46.20,66.00,46.20
2341,اكسترا بانتين كريم,1,90.00,66.87,90.00,66.87
2195,اكسترا كريم,1,65.00,40.95,65.00,40.95
968,اكستنشن 150/12.5 مجم بلاس,0,108.00,87.84,0.00,0.00
960,اكستنشن 300/12.5 مجم بلاس,1,148.00,108.00,148.00,108.00
1955,اكسفورج اتش 5/160/12.5مجم اقراص,0,270.00,203.04,0.00,0.00
2160,اكنى-فرى كريم,1,27.00,19.89,27.00,19.89
546,اكني اكت جيل,1,39.00,28.08,39.00,28.08
306,اكنيسكيف لعلاج حب الشباب,1,37.00,25.53,37.00,25.53
318,اكوا بلس شراب,2,45.00,27.00,90.00,54.00
350,ال- كارنتين,1,72.00,51.12,72.00,51.12
1816,ال-كارنيتين بلس اقراص,1,116.00,90.05,116.00,90.05
1938,البافيت شراب اخضر,1,39.00,27.69,39.00,27.69
1937,البافيت شراب بني,2,40.00,30.40,80.00,60.80
362,البندازول 400 اقراص,1,46.00,36.34,46.00,36.34
