id,name,box_qty,strip_qty,box_purchase,strip_purchase,cost_box,cost_strip,cost_total
1699,*ترمومتر زئبق,2,2,46.00,46.00,92.00,92.00,184.00
1479,10x12غيار لاصق استرب,2,1,2.10,2.10,4.20,2.10,6.30
1480,10x18 غيار لاصق استرب,1,1,2.45,2.45,2.45,2.45,4.90
1481,10x25 غيار لاصق استرب,2,2,3.00,3.00,6.00,6.00,12.00
1482,10x35 غيار لاصق استرب,4,1,3.80,3.80,15.20,3.80,19.00
444,123 شراب,5,5,22.40,22.40,112.00,112.00,224.00
211,2.5/400جليمت,0,0,28.80,9.60,0.00,0.00,0.00
1206,225 فيانسيه  جل كريم موف م,1,1,36.30,36.30,36.30,36.30,72.60
1989,4785963210485,1,2,75.00,37.50,75.00,75.00,150.00
212,5/1000جليبوفين,1,3,34.00,11.33,34.00,34.00,68.00
1478,6x8 غيار لاصق استرب,6,6,1.00,1.00,6.00,6.00,12.00
1286,PINEفوج بخاخ,1,1,93.00,93.00,93.00,93.00,186.00
1491,Test Product,3,9,7.00,2.33,21.00,21.00,42.00
359,أبيمول 500,1,2,15.36,7.68,15.36,15.36,30.72
925,أتور 20,1,1,56.88,56.88,56.88,56.88,113.76
926,أتور 40,1,2,77.38,77.38,77.38,154.76,232.14
1941,إكسامايد 10مجم اقراص,1,3,84.94,28.31,84.94,84.94,169.88
1995,ابره بثور,1,0,8.75,8.75,8.75,0.00,8.75
1616,ابي داينيترا 5مجم اقراص,1,2,9.10,4.55,9.10,9.10,18.20
1811,ابي دينيترا 10مجم اقراص,1,1,6.80,6.80,6.80,6.80,13.60
322,ابيدون شراب,3,2,20.00,20.00,60.00,40.00,100.00
346,ابيديرم كريم,1,1,51.10,51.10,51.10,51.10,102.20
590,ابيسيفين 1جم,4,4,46.02,46.02,184.08,184.08,368.16
591,ابيسيفين 1جم,5,4,46.02,46.02,230.10,184.08,414.18
2260,ابيفاسي امبول,1,1,450.00,450.00,450.00,450.00,900.00
253,ابيفيناك امبول,1,3,28.80,9.60,28.80,28.80,57.60
1447,ابيفيناك قطره للعين,2,2,14.40,14.40,28.80,28.80,57.60
353,ابيكوبريد 20,0,1,77.00,38.50,0.00,38.50,38.50
347,ابيكوبريد 5,1,3,51.06,17.02,51.06,51.06,102.12
1798,ابيكوتيل 20مجم اقراص,0,0,20.80,20.80,0.00,0.00,0.00
1936,ابيكوجيل شراب,1,1,35.52,35.52,35.52,35.52,71.04
2026,ابيكوفيللين 125مجم شراب,1,1,16.67,16.67,16.67,16.67,33.34
593,ابيماج فوار,1,12,19.94,1.66,19.94,19.94,39.88
342,ابيمول اكسترا,1,2,20.16,10.08,20.16,20.16,40.32
329,ابيمول لبوس5اقماع,1,1,10.65,10.65,10.65,10.65,21.30
1974,ابيوكالمين100مجم/5 مجم شراب,1,1,20.44,20.44,20.44,20.44,40.88
355,اتاكاند 16,1,1,85.84,85.84,85.84,85.84,171.68
344,اتاكاند 4ملجم,1,2,31.00,15.50,31.00,31.00,62.00
356,اتاكاند 8,1,1,60.59,60.59,60.59,60.59,121.18
345,اتاكاند بلاس 12.50/16 مجم اقراص,1,1,91.64,91.64,91.64,91.64,183.28
924,اتاكاند بلاس 32/ 25مجم اقراص,1,1,143.20,143.20,143.20,143.20,286.40
