ID,Name,Barcode,Purchase Price
1479,10x12غيار لاصق استرب,4885201647235,2.1
1480,10x18 غيار لاصق استرب,4665201875334,2.45
1481,10x25 غيار لاصق استرب,4006688775219,3.0
1482,10x35 غيار لاصق استرب,4885201963745,3.8
444,123 شراب,6221000000003,22.4
211,2.5/400جليمت,6223003570187,28.8
1206,225 فيانسيه  جل كريم موف م,6223002234622,36.3
212,5/1000جليبوفين,6223003971021,34.0
1478,6x8 غيار لاصق استرب,4698521004756,1.0
1286,PINEفوج بخاخ,6224009160594,93.0
1491,Test Product,1234567890123,7.0
359,أبيمول 500,6221045000341,15.36
925,أتور 20,6221032115652,56.88
926,أتور 40,6221032115669,77.38
1616,ابي داينيترا 5مجم اقراص,6221032103314,9.1
322,ابيدون شراب,6221025004833,51.1
346,ابيديرم كريم,6224011031097,51.1
590,ابيسيفين 1جم,6221032312181,46.02
591,ابيسيفين 1جم,6221032335814,46.02
253,ابيفيناك امبول,6221032320414,28.8
1447,ابيفيناك قطره للعين,6221032330338,14.4
353,ابيكوبريد 20,6221032119667,77.0
347,ابيكوبريد 5,6221032119551,51.06
593,ابيماج فوار,6221032160584,19.94
342,ابيمول اكسترا,6221045011101,20.16
329,ابيمول لبوس5اقماع,6221045000808,10.65
355,اتاكاند 16,6223003270032,85.84
344,اتاكاند 4ملجم,6223003270001,31.0
356,اتاكاند 8,6223003270025,60.59
345,اتاكاند بلاس,6223003270049,91.64
924,اتاكاند بلاس 32,5000456012270,143.2
349,اتكوكوكسيب 90,6223004043499,167.3
340,اتورستات 10,6221163000308,39.76
343,اتورستات 20,6221163009943,44.8
357,اتورستات 40,6221163009950,51.0
360,اتورستات 80,6221163000438,46.72
341,اتوريزا 10/10,6223003570286,114.54
335,اتوريزا 10/20,6223003570545,98.7
348,اتوريزا 10/40,6223003571344,151.2
321,اجيرا كريم حب شباب,6224007394823,108.12
352,اجيولاكس,6221043040004,64.0
1338,اختبار حمل,4120368754220,7.25
1387,اختبار حمل يو تست كارت,6224011150019,6.25
305,ادابالين جيل,6223002570119,23.46
1173,ادرينوكورتين امبول,6224000588038,59.2
358,ادلور 10 اقراص,6221151442462,25.2
923,ادول ازرق,6291100080069,23.1
