id,name,current_price,purchase_price,qty_sold,revenue,avg_sold_price,avg_hist_profit_per_unit,reasons
578,موكسيفلوكس 400 مجم اقراص,180.00,128.80,1,80.00,80.00,-48.80,negative_avg_hist_profit
300,دافلون500مجم,236.00,167.50,2,126.66,63.33,-20.42,negative_avg_hist_profit
1330,دوركو شفرات حريمى,200.00,170.00,14,326.25,23.46,-19.20,negative_avg_hist_profit
334,اريك,144.00,107.40,19,324.44,16.62,-18.72,negative_avg_hist_profit
274,خميره ميباكو-ميدى فود,60.00,45.80,5,150.00,30.00,-15.80,negative_avg_hist_profit
1595,فيتاماونت للسيدات كبسول,120.00,115.00,7,270.00,38.57,-10.71,low_margin;negative_avg_hist_profit
1406,بيبون بلس اقراص,150.00,110.00,4,200.00,50.00,-5.00,negative_avg_hist_profit
231,دياميكرون 60ام ار,156.00,122.14,10,376.00,37.78,-3.11,negative_avg_hist_profit
1919,اتينـــــو 100مجم اقراص,26.00,18.70,1,17.00,17.00,-1.70,negative_avg_hist_profit
1329,ماكينه حلاقه دوركو اصفر,80.00,66.75,3,46.66,16.66,-1.13,negative_avg_hist_profit
1015,كريم حلاقه خمس خمسات,25.00,23.00,13,295.00,22.69,-0.31,negative_avg_hist_profit
846,اندرال 10 جرام اقراص,75.00,55.00,5,54.00,10.80,-0.20,negative_avg_hist_profit
271,روتاسي 60 اقراص,32.00,24.80,4,86.00,21.50,-0.20,negative_avg_hist_profit
979,مولفيكس 5 عبوة كبيرة,455.00,415.00,87,605.70,6.93,-0.19,negative_avg_hist_profit
2050,نيل 15 لوشن للاظافر,65.00,49.17,2,98.00,49.00,-0.17,negative_avg_hist_profit
2259,زوركال فيال,84.00,82.00,0,0.00,,,low_margin
2461,كيتورولين امبول,50.00,315.00,0,0.00,,,price_below_purchase;low_margin
1718,فيوسيدين30مجم كريم,96.00,95.40,2,192.00,96.00,0.60,low_margin
