تقرير أسعار المنتجات - Products Price Report

تاريخ التقرير - Report Date: 2026-05-09 23:53:08

اسم المنتج,Product Name,سعر الشراء,Purchase Price,سعر البيع,Selling Price,الكمية,Stock Qty,إجمالي الشراء,Total Purchase,إجمالي البيع,Total Selling,الربح الإجمالي,Total Profit,نسبة الربح %,Profit Margin %
*ترمومتر زئبق,*ترمومتر زئبق,46.00,46.00,60.00,60.00,3,3,138.00,138.00,180.00,180.00,42.00,42.00,30.4,30.4
10x12غيار لاصق استرب,10x12غيار لاصق استرب,2.40,2.40,5.00,5.00,3,3,7.20,7.20,15.00,15.00,7.80,7.80,108.3,108.3
10x18 غيار لاصق استرب,10x18 غيار لاصق استرب,2.90,2.90,6.00,6.00,5,5,14.50,14.50,30.00,30.00,15.50,15.50,106.9,106.9
10x25 غيار لاصق استرب,10x25 غيار لاصق استرب,3.50,3.50,7.00,7.00,5,5,17.50,17.50,35.00,35.00,17.50,17.50,100.0,100.0
10x35 غيار لاصق استرب,10x35 غيار لاصق استرب,3.80,3.80,6.00,6.00,4,4,15.20,15.20,24.00,24.00,8.80,8.80,57.9,57.9
123 شراب,123 شراب,22.40,22.40,32.00,32.00,4,4,89.60,89.60,128.00,128.00,38.40,38.40,42.9,42.9
2.5/400جليمت,2.5/400جليمت,28.80,28.80,45.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,56.2,56.2
225 فيانسيه  جل كريم موف م,225 فيانسيه  جل كريم موف م,36.30,36.30,47.00,47.00,1,1,36.30,36.30,47.00,47.00,10.70,10.70,29.5,29.5
4785963210485,4785963210485,75.00,75.00,100.00,100.00,1,1,75.00,75.00,100.00,100.00,25.00,25.00,33.3,33.3
5/1000جليبوفين,5/1000جليبوفين,34.00,34.00,48.00,48.00,1,1,34.00,34.00,48.00,48.00,14.00,14.00,41.2,41.2
6x8 غيار لاصق استرب,6x8 غيار لاصق استرب,1.00,1.00,2.00,2.00,2,2,2.00,2.00,4.00,4.00,2.00,2.00,100.0,100.0
PINEفوج بخاخ,PINEفوج بخاخ,93.00,93.00,120.00,120.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,29.0,29.0
أبيمول 500,أبيمول 500,15.36,15.36,24.00,24.00,1,1,15.36,15.36,24.00,24.00,8.64,8.64,56.2,56.2
أتور 20,أتور 20,56.88,56.88,79.00,79.00,1,1,56.88,56.88,79.00,79.00,22.12,22.12,38.9,38.9
أتور 40,أتور 40,77.38,77.38,106.00,106.00,2,2,154.76,154.76,212.00,212.00,57.24,57.24,37.0,37.0
إكسامايد 10مجم اقراص,إكسامايد 10مجم اقراص,84.94,84.94,117.00,117.00,1,1,84.94,84.94,117.00,117.00,32.06,32.06,37.7,37.7
ابره بثور,ابره بثور,3.50,3.50,8.00,8.00,2,2,7.00,7.00,16.00,16.00,9.00,9.00,128.6,128.6
ابي داينيترا 5مجم اقراص,ابي داينيترا 5مجم اقراص,9.10,9.10,16.00,16.00,1,1,9.10,9.10,16.00,16.00,6.90,6.90,75.8,75.8
ابي دينيترا 10مجم اقراص,ابي دينيترا 10مجم اقراص,6.80,6.80,9.00,9.00,1,1,6.80,6.80,9.00,9.00,2.20,2.20,32.4,32.4
ابيدون شراب,ابيدون شراب,20.00,20.00,24.00,24.00,4,4,80.00,80.00,96.00,96.00,16.00,16.00,20.0,20.0
ابيديرم كريم,ابيديرم كريم,51.10,51.10,70.00,70.00,1,1,51.10,51.10,70.00,70.00,18.90,18.90,37.0,37.0
ابيروفاستين 20 مجم اقراص,ابيروفاستين 20 مجم اقراص,57.30,57.30,76.00,76.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.6,32.6
ابيزولون ديبو امبول,ابيزولون ديبو امبول,29.40,29.40,39.00,39.00,2,2,58.80,58.80,78.00,78.00,19.20,19.20,32.7,32.7
ابيسيفين 1جم,ابيسيفين 1جم,46.02,46.02,60.00,60.00,2,2,92.04,92.04,120.00,120.00,27.96,27.96,30.4,30.4
ابيسيفين 1جم,ابيسيفين 1جم,46.02,46.02,60.00,60.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,30.4,30.4
ابيسيفين 2جم فيال,ابيسيفين 2جم فيال,57.13,57.13,77.00,77.00,2,2,114.26,114.26,154.00,154.00,39.74,39.74,34.8,34.8
ابيفاسي امبول,ابيفاسي امبول,450.00,450.00,500.00,500.00,1,1,450.00,450.00,500.00,500.00,50.00,50.00,11.1,11.1
ابيفيناك 100مجم اقراص,ابيفيناك 100مجم اقراص,25.70,25.70,33.00,33.00,1,1,25.70,25.70,33.00,33.00,7.30,7.30,28.4,28.4
ابيفيناك امبول,ابيفيناك امبول,28.80,28.80,36.00,36.00,2,2,57.60,57.60,72.00,72.00,14.40,14.40,25.0,25.0
ابيفيناك قطره للعين,ابيفيناك قطره للعين,14.40,14.40,20.00,20.00,2,2,28.80,28.80,40.00,40.00,11.20,11.20,38.9,38.9
ابيكوبريد 20,ابيكوبريد 20,77.00,77.00,104.00,104.00,1,1,77.00,77.00,104.00,104.00,27.00,27.00,35.1,35.1
ابيكوبريد 5,ابيكوبريد 5,51.06,51.06,69.00,69.00,1,1,51.06,51.06,69.00,69.00,17.94,17.94,35.1,35.1
ابيكوتيل 20مجم اقراص,ابيكوتيل 20مجم اقراص,20.80,20.80,28.50,28.50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.0,37.0
