sale_id,sale_date,medicine,unit_type,quantity,unit_price,subtotal,profit,purchase_price,unit_cost,unit_profit
20,2025-04-19 21:08,سائل بار بار,BOX,1,40.00,40.00,13.00,27.00,27.00,13.00
20,2025-04-19 21:08,سائل بار بار,BOX,2,40.00,80.00,26.00,27.00,27.00,13.00
21,2025-04-26 21:36,نيفيا للسيدات,BOX,1,74.25,74.25,6.75,67.50,67.50,6.75
22,2025-05-19 18:48,بديل زيت الو ايفا,BOX,1,82.50,82.50,7.50,75.00,75.00,7.50
23,2025-05-20 13:09,حنه جلوري بني,BOX,1,40.00,40.00,9.00,31.00,31.00,9.00
23,2025-05-20 13:09,حنه جلوري بني,BOX,1,40.00,40.00,9.00,31.00,31.00,9.00
23,2025-05-20 13:09,بابيا مناديل,BOX,1,30.00,30.00,3.54,26.46,26.46,3.54
24,2025-05-29 19:53,اولوهيستين قطره للعين,BOX,1,22.80,22.80,6.07,16.73,16.73,6.07
25,2025-05-31 17:23,بروفين شراب,BOX,1,44.00,44.00,9.24,34.76,34.76,9.24
26,2025-05-31 20:42,اوبلكس شراب,BOX,1,31.00,31.00,12.10,18.90,18.90,12.10
27,2025-05-31 20:47,فيلداجلوز1000/50بلس,BOX,1,109.96,116.42,4.12,105.84,105.84,4.12
27,2025-05-31 20:47,ايراستابكس كو 40/10 مجم  اقراص,BOX,1,134.31,134.31,12.21,122.10,122.10,12.21
28,2025-06-01 11:10,دوليبران1000مجم,BOX,1,60.00,60.00,19.80,40.20,40.20,19.80
29,2025-06-01 18:38,بروفين400مجم,STRIP,1,26.00,26.00,8.06,53.82,17.94,8.06
30,2025-06-01 20:01,نيوروفيت اقراص,STRIP,1,17.00,17.00,5.10,71.40,11.90,5.10
31,2025-06-01 20:37,زانوجليد30/4,BOX,1,102.00,102.00,29.76,72.24,72.24,29.76
32,2025-06-01 20:53,فورتيموكس بلس قطره,BOX,1,39.00,39.00,11.70,27.30,27.30,11.70
33,2025-06-01 20:55,فولتارين امبول,STRIP,2,17.00,34.00,7.13,40.30,13.43,3.57
34,2025-06-02 19:11,اسبوسيد اطفال,BOX,1,35.00,35.00,9.45,25.55,25.55,9.45
35,2025-06-03 19:02,ديبوفيت امبول,BOX,1,85.00,85.00,28.05,56.95,56.95,28.05
36,2025-06-03 19:03,ديبوفيت امبول,BOX,1,85.00,85.00,28.05,56.95,56.95,28.05
37,2025-06-03 19:05,ليمت ليس ومان,BOX,1,240.00,240.00,48.00,192.00,192.00,48.00
38,2025-06-05 22:11,نوفيستوريك 20,BOX,1,56.23,56.23,5.11,51.12,51.12,5.11
38,2025-06-05 22:11,بانتولوك 40مجم,BOX,1,74.05,74.05,6.73,67.32,67.32,6.73
38,2025-06-05 22:11,ديبوفيت امبول,STRIP,1,12.53,12.53,1.14,56.95,11.39,1.14
38,2025-06-05 22:11,بانادول ادفانس,STRIP,2,18.98,37.96,3.46,69.00,17.25,1.73
38,2025-06-05 22:11,ديبوفيت امبول,STRIP,1,12.53,12.53,1.14,56.95,11.39,1.14
39,2025-06-08 13:06,بسكوبان عادي اقراص 10مجم,STRIP,1,18.75,18.75,-2.40,42.29,21.14,-2.40
39,2025-06-08 13:06,بريمبران 10مجم اقراص,STRIP,1,10.50,10.50,2.62,7.88,7.88,2.62
39,2025-06-08 13:06,فلاجيل 500مجم اقراص,STRIP,1,17.00,17.00,4.93,24.14,12.07,4.93
40,2025-06-08 13:31,ليمت ليس ومان,BOX,1,240.00,240.00,48.00,192.00,192.00,48.00
40,2025-06-08 13:31,ليمتلس اوميجا 3 ايفا,BOX,1,198.00,198.00,14.00,184.00,184.00,14.00
40,2025-06-08 13:31,برافوتين 14 كيس,BOX,1,180.00,180.00,46.80,133.20,133.20,46.80
40,2025-06-08 13:31,برافوتين 14 كيس,BOX,1,180.00,180.00,46.80,133.20,133.20,46.80
40,2025-06-08 13:31,ديجستين,BOX,1,42.00,42.00,13.86,28.14,28.14,13.86
40,2025-06-08 13:31,فورتيموكس بلس قطره,BOX,1,39.00,39.00,11.70,27.30,27.30,11.70
40,2025-06-08 13:31,فاينسيه بخاخ زيتون,BOX,1,57.00,57.00,14.00,43.00,43.00,14.00
40,2025-06-08 13:31,خميره ميباكو-ميدى فود,BOX,1,30.00,30.00,6.00,24.00,24.00,6.00
40,2025-06-08 13:31,نيكسيكيور 2.5 اكياس,STRIP,2,6.00,12.00,2.40,134.40,4.80,1.20
40,2025-06-08 13:31,سوفي طويل,BOX,1,55.00,55.00,15.00,40.00,40.00,15.00
40,2025-06-08 13:31,سوفي طويل,BOX,1,55.00,55.00,15.00,40.00,40.00,15.00
40,2025-06-08 13:31,مناديل زينه,BOX,1,27.00,27.00,3.50,23.50,23.50,3.50
40,2025-06-08 13:31,فوج بخاخ ابيض  فى احمر,BOX,1,110.00,110.00,17.00,93.00,93.00,17.00
40,2025-06-08 13:31,شامبو دوف ضد تساقط الشعر,BOX,1,120.00,120.00,15.00,105.00,105.00,15.00
40,2025-06-08 13:31,سيرم بلوب كبير,BOX,1,240.00,240.00,59.00,181.00,181.00,59.00
41,2025-06-09 16:16,بروفين 200مجم,STRIP,1,16.00,16.00,4.20,35.40,11.80,4.20
41,2025-06-09 16:16,هاي بيوتك 1جم,STRIP,1,86.50,86.50,25.34,122.33,61.16,25.34
42,2025-06-09 16:22,ستربتوكين اقراص,STRIP,1,23.00,23.00,4.60,36.80,18.40,4.60
42,2025-06-09 16:22,بسكوبان عادي اقراص 10مجم,STRIP,1,18.75,18.75,-2.40,42.29,21.14,-2.40
43,2025-06-12 17:01,ديجستين,BOX,1,42.00,42.00,13.86,28.14,28.14,13.86
43,2025-06-12 17:01,خميره ميباكو-ميدى فود,BOX,1,30.00,30.00,6.00,24.00,24.00,6.00
44,2025-06-12 17:27,نيو-كلاف 642 شراب,BOX,1,90.00,90.00,27.00,63.00,63.00,27.00
45,2025-06-12 20:09,ديكساميثازون العمريه,STRIP,1,12.00,12.00,4.92,21.24,7.08,4.92
45,2025-06-12 20:09,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
46,2025-06-15 17:56,فيلداجلوز1000/50بلس,BOX,1,147.00,147.00,41.16,105.84,105.84,41.16
47,2025-06-15 18:44,فيروجلوبين كبسول,STRIP,1,90.00,90.00,24.58,130.85,65.42,24.58
47,2025-06-15 18:44,دوليبران1000مجم,STRIP,1,30.00,30.00,9.90,40.20,20.10,9.90
48,2025-06-16 16:47,راني -ف فوار اكياس,STRIP,2,7.00,14.00,3.94,30.18,5.03,1.97
49,2025-06-21 14:23,ليمتلس بريناتال ماكس,STRIP,1,70.00,70.00,13.30,170.10,56.70,13.30
50,2025-06-21 14:58,ليمتلس الزايم ماكس,STRIP,1,72.50,72.50,18.12,108.75,54.38,18.12
51,2025-06-25 16:11,فلاجيل 500مجم اقراص,STRIP,1,17.00,17.00,4.93,24.14,12.07,4.93
52,2025-06-26 21:04,بانادول كولد ان فلو اقراص,STRIP,1,38.00,38.00,13.68,48.64,24.32,13.68
53,2025-06-26 21:46,ليمتلس الزايم ماكس,STRIP,1,72.50,72.50,18.12,108.75,54.38,18.12
54,2025-06-26 22:02,ميمونتكس اقراص,BOX,1,440.00,440.00,110.00,330.00,330.00,110.00
55,2025-06-26 22:04,فوليك اسيد 500مجم,BOX,1,20.00,20.00,5.40,14.60,14.60,5.40
55,2025-06-26 22:04,ديبوفيت امبول,STRIP,1,17.00,17.00,5.61,56.95,11.39,5.61
